Municipality,Latitude,Longitude
Gurbrü,46.96485,7.21527
Kriechenwil,46.90969,7.21957
Laupen,46.90214,7.23973
Mühleberg,46.95466,7.26102
Münchenwiler,46.91334,7.12556
Neuenegg,46.89494,7.30466
Wileroltigen,46.97094,7.23922
Belprahon,47.28635,7.40588
Bévilard,47.23711,7.28325
Champoz,47.2558,7.29531
Corcelles,46.03545,5.57476
Court,47.23956,7.33655
Crémines,47.28329,7.44032
Eschert,47.27503,7.40334
Grandval,47.28278,7.42504
Loveresse,47.24387,7.23881
Malleray,47.23839,7.27286
Monible,47.27705,7.2033
Moutier,47.27818,7.36951
Perrefitte,47.27568,7.34161
Pontenet,47.24148,7.25136
Reconvilier,47.23431,7.22239
Roches,46.28308,1.99943
Saicourt,47.24339,7.20607
Saules,47.12322,6.20015
Schelten,47.33428,7.55171
Seehof,47.30467,7.52496
Sornetan,47.2743,7.21651
Sorvilier,47.23749,7.30841
Souboz,47.27493,7.24446
Tavannes,47.22079,7.19759
Rebévelier,47.29136,7.1923
Diesse,47.11342,7.11693
Lamboing,47.11682,7.13476
La,11.73022,104.48683
Nods,47.11487,7.08014
Prêles,47.09931,7.13017
Aegerten,47.12115,7.29164
Bellmund,47.10852,7.24608
Brugg,47.48096,8.20869
Buhl,42.59907,-114.75949
Epsach,47.07047,7.22173
Hagneck,47.05703,7.18532
Hermrigen,47.08166,7.24158
Jens,47.09632,7.26358
Ipsach,47.11389,7.23029
Ligerz,47.08368,7.13476
Merzligen,47.08809,7.24823
Mörigen,47.0851,7.21413
Nidau,47.12545,7.24033
Orpund,47.13891,7.30775
Porto,41.14961,-8.61099
Safnern,47.14996,7.32314
Scheuren,47.13471,7.32089
Schwadernau,47.1278,7.30778
Studen,47.07352,8.84177
Sutz,47.10343,7.22081
Täuffelen,47.0663,7.19883
Tüscherz,47.11412,7.19418
Twann,47.0942,7.15699
Walperswil,47.06017,7.22956
Worben,47.10279,7.29518
Därstetten,46.65948,7.49111
Diemtigen,46.64928,7.56477
Erlenbach,47.30298,8.59743
Niederstocken,46.71062,7.57215
Oberstocken,46.71746,7.55471
Oberwil,47.51407,7.55786
Reutigen,46.69363,7.62102
Spiez,46.68473,7.69111
Wimmis,46.67587,7.63972
Gadmen,46.73733,8.35224
Guttannen,46.65511,8.28951
Hasliberg,47.46714,8.50333
Innertkirchen,46.70467,8.22876
Meiringen,46.72709,8.1872
Schattenhalb,46.71903,8.19074
Boltigen,46.62847,7.39054
Lenk,46.45826,7.44298
St Louis,38.62727,-90.19789
Zweisimmen,46.55539,7.37302
Gsteig,46.38585,7.26751
Lauenen,46.42437,7.3217
Saanen,46.48945,7.26003
Albligen,46.85229,7.31814
Guggisberg,46.76756,7.32946
Rüschegg,46.77977,7.39167
Wahlern,46.82701,7.35303
Belp,46.89129,7.49825
Belpberg,46.86732,7.5213
Burgistein,46.78464,7.49988
Gelterfingen,46.84449,7.51564
Gerzensee,46.84023,7.54503
Gurzelen,46.77644,7.54264
Jåberg,59.1,10.16667
Kaufdorf,46.84032,7.49679
Kehrsatz,46.91035,7.47096
Kienersrüti,46.79837,7.56078
Kirchdorf,48.45942,11.65438
Kirchenthurnen,46.82375,7.50054
Lohnstorf,46.80771,7.50987
Mühledorf,46.82908,7.53877
Mühlethurnen,46.81345,7.50881
Niedermuhlern,46.85846,7.46663
Noflen,46.8056,7.5433
Riggisberg,46.81028,7.48014
Rüeggisberg,46.82216,7.4389
Rümligen,46.82975,7.49542
Rüti,47.25603,8.85552
Seftigen,46.78765,7.53937
Toffen,46.86031,7.49216
Uttigen,46.79435,7.57789
Wattenwil,46.76973,7.50835
Wald,47.27595,8.91405
Eggiwil,46.87575,7.79567
Langnau,46.93936,7.78738
Lauperswil,46.96564,7.74214
Rothenbach,50.56417,7.90333
Rüderswil,46.98374,7.72167
Schangnau,46.82784,7.85987
Signau,46.91944,7.72418
Trub,46.94168,7.87996
Trubschachen,46.92228,7.8452
Amsoldingen,46.72754,7.58247
Blumenstein,46.7421,7.52136
Buchholterberg,46.81351,7.67463
Eriz,46.78773,7.77102
Fahrni,46.79401,7.65502
Forst,51.73544,14.63971
Heiligenschwendi,46.75109,7.68391
Heimberg,46.79482,7.60433
Hilterfingen,46.73521,7.66185
Höfen,47.46667,10.68333
Homberg (Efze),51.02994,9.40261
Horrenbach,49.40916,9.65999
Oberhofen,46.73148,7.66903
Oberlangenegg,47.45,9.9
Pohlern,46.72515,7.53525
Schwendibach,46.76993,7.66192
Sigriswil,46.71656,7.71335
Steffisburg,46.77807,7.63249
Teuffenthal,46.76766,7.71142
Thierachern,46.75319,7.57442
Thun,46.75118,7.62166
Uebeschi,46.73774,7.5558
Uetendorf,46.77392,7.57251
Unterlangenegg,47.46667,9.88333
Wachseldorn,46.82205,7.72507
Zwieselberg,46.71006,7.61669
Affoltern im Emmental,47.06496,7.73395
Dürrenroth,47.08953,7.7917
Eriswil,47.07816,7.85149
Huttwil,47.11502,7.86209
Lützelflüh,47.00757,7.69165
Rüegsau,47.02483,7.67395
Sumiswald,47.02747,7.74526
Trachselwald,47.01699,7.73639
Walterswil,47.1122,7.77798
Wyssachen,47.07851,7.82922
Attiswil,47.24673,7.61353
Berken,47.22578,7.70594
Bettenhausen,47.17148,7.71575
Bollodingen,47.16618,7.70561
Farnern,47.26693,7.61778
Graben,48.18732,10.82222
Heimenhausen,47.20904,7.69957
Hermiswil,46.83125,7.47775
Herzogenbuchsee,47.18795,7.7062
Inkwil,47.20103,7.6712
Niederbipp,47.27175,7.69583
Niederönz,47.18423,7.6906
Oberbipp,47.2607,7.66359
Oberönz,47.17793,7.69489
Ochlenberg,47.14953,7.73603
Rothenbach,50.56417,7.90333
Rumisberg,47.26415,7.6403
Seeberg,47.15585,7.66567
Thörigen,47.17306,7.72888
Walliswil bei Niederbipp,47.23625,7.68991
Walliswil bei Niederbipp,47.23625,7.68991
Wangen,47.34365,7.86982
Wangenried,47.21713,7.65565
Wanzwil,47.20033,7.69318
Wiedlisbach,47.25194,7.6461
Wolfisberg,47.27485,7.65993
Doppleschwand,47.01831,8.05501
Entlebuch,46.99559,8.06354
Escholzmatt,46.9135,7.93426
Flühli,46.88391,8.01558
Hasle,46.97787,8.05326
Marbach,46.85441,7.89966
Romoos,47.01093,8.02543
Schüpfheim,46.95161,8.01723
Werthenstein,47.05578,8.10182
Aesch,47.47104,7.5973
Altwis,47.23847,8.24781
Ballwil,47.15371,8.32233
Emmen,52.77917,6.90694
Ermensee,47.22781,8.23627
Eschenbach,47.23981,8.92156
Gelfingen,47.21447,8.26537
Hämikon,47.23839,8.2764
Hitzkirch,47.22403,8.26425
Hochdorf,47.16841,8.29179
Hohenrain,47.18083,8.31802
Inwil,47.1253,8.34885
Lieli,47.20767,8.29708
Mosen,47.24486,8.22631
Müswangen,47.23828,8.28914
Rain,48.90496,12.46871
Retschwil,47.19292,8.25391
Römerswil,47.16881,8.24528
Rothenburg,47.09566,8.27228
Schongau,47.26851,8.26511
Sulz,47.28721,9.65183
Adligenswil,47.06521,8.36124
Buchrain,47.09625,8.34729
Dierikon,47.09677,8.36948
Ebikon,47.07937,8.34041
Gisikon,47.12701,8.40356
Greppen,47.05438,8.42995
Honau,47.13254,8.40811
Horw,47.01692,8.30956
Kriens,47.0311,8.28547
Littau,47.05,8.26274
Lucerne,47.05048,8.30635
Malters,47.03628,8.18193
Meggen,47.04691,8.37467
Meierskappel,47.1247,8.44274
Root,47.11458,8.39021
Schwarzenberg,47.01705,8.17261
Udligenswil,47.09005,8.40335
Vitznau,47.01014,8.4842
Weggis,47.03208,8.43219
Beromünster,47.20612,8.19265
Burón,43.02486,-5.05119
Buttisholz,47.11442,8.09425
Eich,47.15116,8.16695
Geuensee,47.1997,8.10689
Grosswangen,47.1331,8.05041
Gunzwil,47.21072,8.17932
Hildisrieden,47.15068,8.22582
Knutwil,47.19953,8.07315
Mauensee,47.16703,8.06793
Spišská Nová Ves,48.94464,20.56153
Neuenkirch,47.09989,8.20416
Nottwil,47.13469,8.13774
Oberkirch,47.15642,8.11567
Pfeffikon,47.24836,8.17752
Rickenbach,47.55191,8.79654
Ruswil,47.08425,8.12645
Schenkon,47.17765,8.13204
Schlierbach,47.68288,7.40742
Sempach,47.13577,8.19149
Sursee,47.17088,8.11113
Triengen,47.23573,8.07652
Winikon,47.236,8.04827
Wolhusen,47.05983,8.07389
Alberswil,47.14998,8.00313
Altbüron,47.18204,7.88123
Altishofen,47.19916,7.96964
Buchs,47.39358,8.08233
Dagmersellen,47.21405,7.98519
Ebersecken,47.18286,7.93185
Egolzwil,47.18434,8.00753
Ettiswil,47.15031,8.01759
Fischbach,49.746,6.18702
Gettnau,47.14064,7.97007
Grossdietwil,47.16836,7.89141
Hergiswil,46.98429,8.30944
Kottwil,47.1645,8.04643
Langnau,46.93936,7.78738
Luthern,47.05753,7.91692
Menznau,47.08364,8.03971
Nebikon,47.19185,7.97769
Ohmstal,47.1623,7.95268
Pfaffnau,47.22772,7.89719
Reiden,47.24719,7.97135
Richenthal,47.21757,7.94459
Roggliswil,47.21353,7.88374
Schötz,47.16896,7.9887
Uffikon,47.21096,8.01808
Ufhusen,47.11699,7.89607
Wauwil,47.18457,8.021
Wikon,47.26339,7.96801
Willisau,47.12183,7.99418
Willisau,47.12183,7.99418
Zell,47.13673,7.92495
Altdorf,46.88042,8.64441
Andermatt,46.63565,8.59388
Attinghausen,46.86255,8.63036
Bauen,46.93559,8.57836
Bürglen,46.87565,8.66539
Erstfeld,46.81885,8.65052
Flüelen,46.90478,8.62396
Göschenen,46.66816,8.58709
Gurtnellen,46.73814,8.62843
Hospental,46.61956,8.56977
Isenthal,46.91079,8.56121
Realp,46.59821,8.50282
