,Municipality,Latitude,Longitude
371,Walkringen,46.9474375,7.6204553
372,Worb,46.9308618,7.5645522
373,Zäziwil,46.9010154,7.6611309
374,Oberhünigen,46.8796454,7.6630774
375,Allmendingen,48.3277262,9.7255469
376,Trimstein,46.9047324,7.5810475
377,Wichtrach,46.8457306,7.5783419
378,Clavaleyres,46.8995207,7.090773
379,Ferenbalm,46.9488327,7.2109008
380,Frauenkappelen,46.9534091,7.3356617
381,Golaten,46.9863452,7.2442159
382,Gurbrü,46.9649783,7.2164888
383,Kriechenwil,46.910791,7.222791
384,Laupen,46.9033021,7.239642
385,Mühleberg,46.9533705,7.2615937
386,Münchenwiler,46.9124813,7.1255085
387,Neuenegg,46.895472,7.3034416
388,Wileroltigen,46.9707682,7.2387144
389,Belprahon,47.2828128,7.4059657
390,Bévilard,47.2366248,7.2839509
391,Champoz,47.2553622,7.2991767
392,Châtelat,47.2722989,7.1944964
393,Corcelles (BE),47.2857616,7.4556693
394,Court,47.2398992,7.337079
395,Crémines,47.2833117,7.4414188
396,Eschert,47.2754884,7.3982726
397,Grandval,45.5981933,3.6455614
398,Loveresse,47.2424177,7.2356474
399,Malleray,47.2383,7.2719116
400,Monible,47.2771071,7.2005408
401,Moutier,47.2796142,7.3704192
402,Perrefitte,47.2753454,7.3428312
403,Pontenet,47.2415592,7.2546414
404,Reconvilier,47.2357712,7.2247648
405,Roches (BE),47.3019267,7.3820526
406,Saicourt,47.2436103,7.2072535
407,Saules (BE),47.2449404,7.218926
408,Schelten,47.331277,7.55302
409,Seehof,53.6918527,11.4321686
410,Sornetan,47.275123,7.2171688
411,Sorvilier,47.238703,7.3048075
412,Souboz,47.2746097,7.2438318
413,Tavannes,47.220131,7.1986691
414,Rebévelier,47.2913008,7.1918312
415,Diesse,47.1137482,7.1166912
416,Lamboing,47.1177147,7.1361859
417,La Neuveville,47.0637688,7.0927997
418,Nods,47.09033435,6.344889297536589
419,Prêles,47.0991704,7.1308569
420,Aegerten,47.1202408,7.2884966
421,Bellmund,47.1071376,7.2467743
422,Brügg,47.4824633,8.2085662
423,Bühl,48.7253,7.0853
424,Epsach,47.06903,7.2198025
425,Hagneck,47.0569331,7.1870499
426,Hermrigen,47.0818792,7.2429219
427,Jens,47.0989891,7.2636214
428,Ipsach,47.1118789,7.2329528
429,Ligerz,47.0844684,7.1358527
430,Merzligen,47.0886495,7.2494027
431,Mörigen,47.0846116,7.2137984
432,Nidau,47.1250287,7.241157
433,Orpund,47.13979,7.303145
434,Port,46.1635975,5.5710285
435,Safnern,47.1500659,7.322072
436,Scheuren,51.0435928,7.1685576
437,Schwadernau,47.1290187,7.3044152
438,Studen,50.906082,29.387548
439,Sutz-Lattrigen,47.098806,7.2149985
440,Täuffelen,47.0683128,7.1993363
441,Tüscherz-Alfermée,47.1127,7.1926
442,Twann,47.093989,7.1548139
443,Walperswil,47.0597836,7.2268525
444,Worben,47.100636,7.29635
445,Därstetten,46.6589671,7.4929797
446,Diemtigen,46.6496866,7.5665715
447,Erlenbach im Simmental,46.6614834,7.5533928
448,Niederstocken,46.7072968,7.585908
449,Oberstocken,46.7177726,7.5539479
450,Oberwil im Simmental,46.6572051,7.4358295
451,Reutigen,46.6942728,7.623712
452,Spiez,46.6919473,7.6774655
453,Wimmis,46.6734323,7.6368102
454,Gadmen,46.7035838,8.380126149609252
455,Guttannen,46.655228,8.2904509
456,Hasliberg,46.7379056,8.2052569
457,Innertkirchen,46.686639,8.237649291825363
458,Meiringen,46.7285518,8.1870934
459,Schattenhalb,46.71741,8.1921668
460,Boltigen,46.6295364,7.3907814
461,Lenk,46.4558879,7.4416976
462,St. Stephan,46.508715,7.3961417
463,Zweisimmen,46.553261,7.3738058
464,Gsteig,46.3855821,7.2673253
465,Lauenen,46.4247066,7.3223985
466,Saanen,46.489756,7.2615837
467,Albligen,46.851398,7.318044
468,Guggisberg,46.7675178,7.3295779
469,Rüschegg,46.7712929,7.4036704
470,Wahlern,46.827063,7.3530695
471,Belp,46.88978,7.498388
472,Belpberg,46.865719,7.520565
473,Burgistein,46.7913175,7.500478
474,Gelterfingen,46.8416185,7.5168205
475,Gerzensee,46.8380937,7.5431319
476,Gurzelen,46.7793311,7.531651
477,Jaberg,46.8181812,7.569789
478,Kaufdorf,46.8379379,7.498229
479,Kehrsatz,46.9119427,7.4731844
480,Kienersrüti,46.797149,7.5610807
481,Kirchdorf (BE),46.8198653,7.5483898
482,Kirchenthurnen,46.8233157,7.5018898
483,Lohnstorf,46.8070709,7.5097537
484,Mühledorf (BE),46.8288719,7.5385748
485,Mühlethurnen,46.8140615,7.5096282
486,Niedermuhlern,46.8622943,7.4643067
487,Noflen,46.8057959,7.545757
488,Riggisberg,46.8106696,7.4798275
489,Rüeggisberg,46.8214813,7.43971
490,Rümligen,46.8307674,7.4960993
